xdate,Quantgas,Pricegas,pop,Disp_inc,pce2017,inflation_p,unrate,tb1yr,tb10yr
1975-01-01,192382,0.532,214998,1154.2,26.132,11.09127,8.1,6.83,7.50
1975-02-01,170691,0.533,215132,1161.1,26.274,10.40888,8.1,5.98,7.39
1975-03-01,196097,0.534,215276,1166.0,26.363,9.51273,8.6,6.11,7.73
1975-04-01,201542,0.54,215438,1191.4,26.452,9.11191,8.8,6.90,8.23
1975-05-01,213010,0.55,215646,1265.1,26.558,8.47970,9.0,6.39,8.06
1975-06-01,212285,0.567,215871,1230.2,26.724,8.23815,8.8,6.29,7.86
1975-07-01,218258,0.591,216084,1221.6,26.953,8.36684,8.6,7.11,8.06
1975-08-01,217257,0.595,216294,1235.1,27.070,7.71128,8.4,7.70,8.40
1975-09-01,201861,0.597,216490,1244.2,27.204,7.13189,8.4,7.75,8.43
1975-10-01,210107,0.594,216679,1256.7,27.362,6.98729,8.4,6.95,8.14
1975-11-01,191690,0.589,216851,1263.8,27.538,6.87313,8.3,6.49,8.05
1975-12-01,211049,0.586,217013,1272.0,27.690,6.61892,8.2,6.60,8.00
1976-01-01,198347,0.605,217172,1285.2,27.795,6.36385,7.9,5.81,7.74
1976-02-01,181641,0.600,217315,1294.9,27.831,5.92601,7.7,5.91,7.79
1976-03-01,213605,0.594,217455,1300.7,27.873,5.72772,7.6,6.21,7.73
1976-04-01,214782,0.592,217607,1305.4,27.936,5.61016,7.7,5.92,7.56
1976-05-01,212442,0.600,217773,1311.7,28.069,5.68943,7.4,6.40,7.90
1976-06-01,224458,0.616,217948,1318.7,28.192,5.49319,7.6,6.52,7.86
1976-07-01,226772,0.623,218134,1332.9,28.335,5.12744,7.8,6.20,7.83
1976-08-01,222214,0.628,218337,1343.0,28.491,5.24935,7.8,6.00,7.77
1976-09-01,212355,0.630,218542,1350.8,28.651,5.31907,7.6,5.84,7.59
1976-10-01,214799,0.629,218739,1355.5,28.801,5.25912,7.7,5.50,7.41
1976-11-01,211147,0.629,218920,1374.0,28.932,5.06210,7.8,5.29,7.29
1976-12-01,221272,0.626,219093,1386.9,29.094,5.07042,7.8,4.89,6.87
1977-01-01,200637,0.627,219262,1392.2,29.263,5.28153,7.5,5.29,7.21
1977-02-01,193191,0.637,219424,1390.7,29.492,5.96816,7.6,5.47,7.39
1977-03-01,214144,0.643,219594,1417.2,29.640,6.33947,7.4,5.50,7.46
1977-04-01,220352,0.651,219772,1427.7,29.812,6.71535,7.2,5.44,7.37
1977-05-01,217907,0.659,219953,1435.2,29.963,6.74766,7.0,5.84,7.46
1977-06-01,227783,0.665,220143,1449.2,30.131,6.87784,7.2,5.80,7.28
1977-07-01,230624,0.667,220349,1466.1,30.287,6.88901,6.9,5.94,7.33
1977-08-01,230018,0.667,220573,1478.9,30.428,6.79864,7.0,6.37,7.40
1977-09-01,219484,0.666,220796,1492.6,30.543,6.60361,6.8,6.53,7.34
1977-10-01,221043,0.665,221007,1510.4,30.685,6.54144,6.8,6.97,7.52
1977-11-01,215741,0.664,221206,1531.2,30.861,6.66736,6.8,6.95,7.58
1977-12-01,228616,0.665,221390,1545.0,31.011,6.58899,6.4,6.96,7.69
1978-01-01,207118,0.648,221553,1547.4,31.194,6.59878,6.4,7.28,7.96
1978-02-01,192540,0.647,221711,1563.8,31.339,6.26272,6.3,7.34,8.03
1978-03-01,224905,0.647,221892,1587.1,31.542,6.41700,6.3,7.31,8.04
1978-04-01,216070,0.649,222084,1604.6,31.781,6.60472,6.1,7.45,8.15
1978-05-01,239456,0.655,222278,1615.1,32.008,6.82508,6.0,7.82,8.35
1978-06-01,237392,0.663,222482,1625.7,32.217,6.92310,5.9,8.09,8.46
1978-07-01,234852,0.674,222697,1642.8,32.393,6.95348,6.2,8.39,8.64
1978-08-01,244041,0.682,222933,1658.1,32.557,6.99685,5.9,8.31,8.41
1978-09-01,221959,0.688,223168,1668.0,32.742,7.19969,6.0,8.64,8.42
1978-10-01,230886,0.690,223383,1685.8,33.003,7.55418,5.8,9.14,8.64
1978-11-01,225094,0.695,223585,1697.0,33.190,7.54674,5.9,10.01,8.81
1978-12-01,230996,0.705,223781,1713.4,33.345,7.52636,6.0,10.30,9.01
1979-01-01,211741,0.716,223973,1734.6,33.597,7.70340,5.9,10.41,9.10
1979-02-01,203122,0.730,224150,1750.9,33.776,7.77625,5.9,10.24,9.10
1979-03-01,224099,0.755,224333,1769.2,34.040,7.91960,5.8,10.25,9.12
1979-04-01,211651,0.802,224529,1773.1,34.395,8.22504,5.8,10.12,9.18
1979-05-01,223615,0.844,224734,1783.2,34.751,8.56973,5.6,10.12,9.25
1979-06-01,215723,0.901,224948,1793.3,35.038,8.75625,5.7,9.57,8.91
1979-07-01,213957,0.949,225174,1820.1,35.305,8.98960,5.7,9.64,8.95
1979-08-01,227238,0.988,225419,1836.7,35.575,9.26990,6.0,9.98,9.03
1979-09-01,206424,1.020,225662,1851.4,35.889,9.61151,5.9,10.84,9.33
1979-10-01,217634,1.028,225893,1865.5,36.182,9.63246,6.0,12.44,10.30
1979-11-01,203728,1.041,226120,1883.8,36.433,9.77102,5.9,12.39,10.65
1979-12-01,208641,1.065,226339,1903.8,36.739,10.17844,6.0,11.98,10.39
1980-01-01,196000,1.131,226554,1937.3,37.124,10.49796,6.3,12.06,10.80
1980-02-01,191292,1.207,226753,1948.1,37.526,11.10256,6.3,13.92,12.41
1980-03-01,198589,1.252,226955,1959.7,37.987,11.59518,6.3,15.82,12.75
1980-04-01,203998,1.264,227156,1967.7,38.185,11.01904,6.9,13.30,11.47
1980-05-01,208614,1.266,227387,1975.7,38.482,10.73638,7.5,9.39,10.18
1980-06-01,199717,1.269,227624,1992.4,38.725,10.52286,7.6,8.16,9.78
1980-07-01,209022,1.271,227840,2025.3,39.026,10.53958,7.8,8.65,10.25
1980-08-01,206094,1.267,228070,2044.1,39.351,10.61420,7.7,10.24,11.10
1980-09-01,195296,1.257,228302,2071.7,39.715,10.66065,7.5,11.52,11.51
1980-10-01,206532,1.250,228515,2104.5,40.033,10.64341,7.5,12.49,11.75
1980-11-01,187006,1.250,228696,2124.7,40.359,10.77594,7.5,14.15,12.68
1980-12-01,205587,1.258,228858,2148.2,40.621,10.56643,7.2,14.88,12.84
1981-01-01,199366,1.298,229004,2160.1,41.011,10.47032,7.5,14.08,12.57
1981-02-01,176416,1.382,229148,2175.0,41.426,10.39279,7.4,14.57,13.19
1981-03-01,195382,1.417,229314,2196.1,41.715,9.81388,7.4,13.71,13.12
1981-04-01,198068,1.412,229489,2199.2,41.897,9.72109,7.2,14.32,13.68
1981-05-01,205061,1.400,229668,2213.2,42.085,9.36282,7.5,16.20,14.10
1981-06-01,210834,1.391,229864,2234.0,42.253,9.11039,7.5,14.86,13.47
1981-07-01,211513,1.382,230077,2283.0,42.508,8.92226,7.2,15.72,14.28
1981-08-01,205741,1.376,230300,2303.9,42.774,8.69864,7.4,16.72,14.94
1981-09-01,199859,1.376,230527,2313.6,43.033,8.35453,7.6,16.52,15.32
1981-10-01,203909,1.371,230732,2326.6,43.228,7.98092,7.9,15.38,15.15
1981-11-01,191184,1.369,230906,2340.2,43.460,7.68354,8.3,12.41,13.39
1981-12-01,207115,1.365,231073,2344.2,43.594,7.31887,8.5,12.85,13.72
1982-01-01,184779,1.358,231235,2361.2,43.853,6.92985,8.6,14.32,14.59
1982-02-01,173483,1.334,231392,2374.8,43.985,6.17728,8.9,14.73,14.43
1982-03-01,200459,1.284,231558,2380.6,44.098,5.71257,9.0,13.95,13.86
1982-04-01,206923,1.225,231727,2405.5,44.120,5.30587,9.3,13.98,13.87
1982-05-01,206306,1.237,231901,2409.8,44.382,5.45800,9.4,13.34,13.62
1982-06-01,205058,1.309,232090,2414.1,44.704,5.80077,9.6,14.07,14.30
1982-07-01,210502,1.331,232290,2450.6,44.969,5.78950,9.8,13.24,13.95
1982-08-01,205034,1.323,232496,2462.2,45.108,5.45659,9.8,11.43,13.06
1982-09-01,195929,1.307,232708,2468.2,45.233,5.11236,10.1,10.85,12.34
1982-10-01,198107,1.295,232905,2479.6,45.487,5.22578,10.4,9.32,10.91
1982-11-01,197234,1.283,233077,2497.0,45.624,4.97929,10.8,9.16,10.55
1982-12-01,203011,1.260,233241,2513.0,45.693,4.81488,10.8,8.91,10.54
1983-01-01,187573,1.230,233398,2533.5,45.906,4.68155,10.4,8.62,10.46
1983-02-01,168007,1.187,233543,2538.9,45.984,4.54473,10.4,8.92,10.72
1983-03-01,211909,1.152,233697,2554.4,46.043,4.41063,10.3,9.04,10.51
1983-04-01,193569,1.215,233852,2571.6,46.253,4.83454,10.2,8.98,10.40
1983-05-01,205126,1.259,234020,2584.1,46.384,4.51084,10.1,8.90,10.38
1983-06-01,209807,1.277,234213,2595.8,46.557,4.14504,10.1,9.66,10.85
1983-07-01,209728,1.288,234404,2643.2,46.820,4.11617,9.4,10.20,11.38
1983-08-01,215001,1.285,234601,2649.4,47.020,4.23872,9.5,10.53,11.85
1983-09-01,201807,1.274,234804,2677.7,47.185,4.31543,9.2,10.16,11.65
1983-10-01,204233,1.255,234993,2706.0,47.265,3.90881,8.8,9.81,11.54
1983-11-01,198092,1.241,235157,2732.9,47.332,3.74364,8.5,9.94,11.69
1983-12-01,212231,1.231,235310,2758.5,47.358,3.64388,8.3,10.11,11.83
1984-01-01,194200,1.216,235456,2782.7,47.564,3.61173,8.0,9.90,11.67
1984-02-01,180711,1.209,235601,2817.5,47.884,4.13187,7.8,10.04,11.84
1984-03-01,202372,1.210,235757,2844.9,48.041,4.33942,7.8,10.59,12.32
1984-04-01,200284,1.227,235916,2875.0,48.224,4.26135,7.7,10.90,12.63
1984-05-01,213602,1.236,236077,2882.7,48.285,4.09840,7.4,11.66,13.41
1984-06-01,213203,1.229,236254,2906.9,48.371,3.89630,7.2,12.08,13.56
1984-07-01,211734,1.212,236449,2920.9,48.544,3.68219,7.5,12.03,13.36
1984-08-01,219886,1.196,236655,2949.8,48.693,3.55806,7.5,11.82,12.72
1984-09-01,197654,1.203,236868,2974.9,48.759,3.33581,7.3,11.58,12.52
1984-10-01,208613,1.209,237068,2970.8,48.874,3.40421,7.4,10.90,12.16
1984-11-01,203999,1.207,237238,2988.0,48.943,3.40362,7.2,9.82,11.57
1984-12-01,203204,1.193,237392,3014.9,49.081,3.63824,7.3,9.33,11.50
1985-01-01,196799,1.148,237535,3029.1,49.326,3.70448,7.3,9.02,11.38
1985-02-01,184449,1.131,237667,3015.2,49.555,3.48968,7.2,9.29,11.51
1985-03-01,206588,1.159,237816,3013.4,49.749,3.55530,7.2,9.86,11.86
1985-04-01,208669,1.205,237987,3068.4,49.821,3.31163,7.3,9.14,11.43
1985-05-01,218861,1.231,238172,3151.2,49.939,3.42549,7.2,8.46,10.85
1985-06-01,209902,1.241,238368,3093.7,50.075,3.52277,7.4,7.80,10.16
1985-07-01,217255,1.242,238573,3108.2,50.198,3.40722,7.4,7.86,10.31
1985-08-01,224487,1.229,238789,3116.6,50.364,3.43170,7.1,8.05,10.33
1985-09-01,198884,1.216,239006,3135.6,50.449,3.46603,7.1,8.07,10.37
1985-10-01,213796,1.204,239210,3156.8,50.533,3.39444,7.1,8.01,10.24
1985-11-01,203105,1.207,239392,3171.3,50.680,3.54903,7.0,7.88,9.78
1985-12-01,210565,1.208,239558,3201.4,50.850,3.60425,7.0,7.67,9.26
1986-01-01,201560,1.194,239713,3222.4,51.084,3.56404,6.7,7.73,9.19
1986-02-01,181130,1.120,239858,3239.4,51.084,3.08546,7.2,7.61,8.70
